"100","Airbus","A320","381","Nice","1987-03-20"
"101","Boeing","B707","250","Paris","1984-02-27"
"102","Airbus","A320","522","Toulouse","1988-01-24"
"103","Caravelle","Caravelle","240","Toulouse","1964-01-01"
"104","Boeing","B747","400","Paris","1988-01-01"
"105","Airbus","A320","423","Grenoble","1998-05-01"
"106","ATR","ATR42","50","Paris","1990-01-01"
"107","Boeing","B727","300","Lyon","1988-01-01"
"108","Boeing","B727","300","Nantes","1988-01-01"
"109","Airbus","A340","350","Bastia","1995-01-01"
"120","Caravelle","Caravelle","240","Grenoble","1960-01-01"
"150","Airbus","A340","345","Brive","2000-01-01"
"151","Boeing","B707","250","Bastia","1986-02-02"
"155","Airbus","A340","600","Toulouse","1998-06-03"
"160","Airbus","A340","600","Paris","1988-02-06"
